GP19A9,German,English,Unit
2313 14 000,Glaskolben für Vakuum-Isolierflaschen oder für andere Vakuum-Isolierbehälter,Glass pistons for vacuum isolating bottles or for other vacuum insulating containers,St + t
2313 91 000,"Veredlung und Bearbeitung an Trinkgläsern und Glaswaren zur Verwendung bei Tisch, in der Küche oder zu ähnlichen Zwecken","Refinement and processing on drinking glasses and glassware for use at table, in the kitchen or for similar purposes",EUR
2313 92 000,Veredlung und Bearbeitung an Behälterglas,Refinement and processing on container glass,EUR
2314 11 100,Glasstapelfasern mit einer Länge von 3 mm bis 50 mm (chopped strands),Glass stacking fibers with a length of 3 mm to 50 mm (chopped beach),t
2314 11 300,Glasseidenstränge (Rovings),Glassids (rovings),t
2314 11 500,Vorgarne (Lunten) u.a. Garne aus Filamenten,Vor yarn (fuse) including yarn from filaments,t
2314 11 700,Vorgarne (Lunten) u.a. Garne aus Stapelfasern,Front yarn (fuse) including yarn from stacking fibers,t
2314 12 200,Matten,Mats,t
2314 12 400,Vliese,Fleece,t
2314 12 500,"Matratzen, Platten u.ä.","Mattresses, plates, etc.",t
2314 12 971,"aus nichttextilen Glasfasern, lose oder in Flocken (ohne Schläuche und Schalen zur Isolierung von Rohren)","From non -textile glass fibers, loose or in flakes (without hoses and shells for insulation of pipes)",t
2314 12 979,Schläuche und Schalen zur Isolierung von Rohren und andere Waren aus textilen Glasfasern,Hoses and bowls for insulation of pipes and other goods from textile glass fibers,t
2319 11 100,Glasmasse,Glass mass,t
2319 11 300,"Glas in Kugeln, Stangen oder Stäben, nicht bearbeitet","Glass in balls, poles or rods, not edited",t
2319 11 500,"Glas in Rohren, nicht bearbeitet","Glass in pipes, not edited",t
2319 12 000,"Bausteine, Platten, Fliesen u.a. Waren aus Glas, zu Bauzwecken; Kunstverglasungen; vielzelliges Glas oder Schaumglas, in Blöcken o.dgl.","Building blocks, plates, tiles, etc. were made of glass, for construction purposes; Art glazing; multi -cell glass or foam glass, in blocks or",t
2319 21 000,"Offene Glaskolben und Glasrohre, Glasteile dafür, für elektrische Lampen, Kathodenstrahlröhren o.dgl.","Open glass flask and glass pipes, glass parts for it, for electrical lamps, cathode beam tubes or.",t
2319 22 000,"Gläser für Uhren u.ä. Gläser, Gläser für Brillen, jedoch nicht optisch bearbeitet; Hohlkugeln oder Hohlkugelsegmente, aus Glas, zum Herstellen solcher Gläser","Glasses for watches etc. Glasses, glasses for glasses, but not optically edited; Hohlkugel or hollow ball segments, made of glass, for the production of such glasses",t
2319 23 300,"Glaswaren für Laboratorien, hygienische oder pharmazeutische Bedarfsartikel aus Glas, auch mit Skalen oder Eichzeichen","Glass goods for laboratories, hygienic or pharmaceutical needs items made of glass, also with scales or oak signs",t
2319 23 500,"Ampullen, zu Transport- oder Verpackungszwecken","Ampoules, for transport or packaging purposes",1000 St
2319 24 000,Teile aus Glas für Beleuchtungskörper u.ä.,"Parts made of glass for lighting bodies, etc.",t
2319 25 000,Elektrische Isolatoren aus Glas,Electric isolators made of glass,t
2319 26 400,"Glaswaren für Signalvorrichtungen und optische Elemente, aus Glas, jedoch nicht optisch bearbeitet; Glaswürfel u.a. Glaskurzwaren, auch auf Unterlagen, für Mosaike oder zu ähnlichen Zierzwecken","Glass goods for signal devices and optical elements, made of glass, but not optically edited; Glass cubes, including glass, also on documents, for mosaics or for similar ornamental purposes",t
2319 26 700,"Glaskurzwaren (einschl. Glasperlen, Nachahmungen von Perlen, Edel- oder Schmucksteinen; Mikrokugeln, mit einem Durchmesser von 1 mm oder weniger) (ohne Phantasieschmuck)","Glass spare (including glass beads, imitations of pearls, noble or gemstones; microco balls, with a diameter of 1 mm or less) (without imagination)",t
2319 26 900,Andere Glaswaren,Other glassware,t
2319 91 000,Veredlung und Bearbeitung an sonstigem Glas (einschl. technischem Glas),Refinement and processing on other glass (including technical glass),EUR
2320 11 000,"Steine, Platten, Fliesen u.a. keramische Waren, aus kieselsäurehaltigen fossilen Mehlen oder Erden","Stones, plates, tiles, including ceramic goods, from silica -contained fossil flour or earth",t
2320 12 100,"Feuerfeste Steine, Platten, Fliesen u.ä. Bauteile, mit einem Gehalt der Elemente Mg, Ca oder Cr, berechnet als MgO, CaO, Cr2O3, einzeln oder gemeinsam von mehr als 50 GHT (Basische Steine)","Fire -proof stones, plates, tiles, etc. Components, with a content of the elements MG, CA or CR, calculated as MGO, CAO, CR2O3, individually or together by more than 50 GHT (basic stones)",t
2320 12 330,mit einem Gehalt an Kieselsäure (SiO2) von 93 GHT oder mehr (Silikatsteine),With a silica content (SIO2) of 93 GHT or more (silica stones),t
2320 12 350,"mit einem Gehalt an Tonerde (Al2O3) von mehr als 7, jedoch weniger als 45 GHT (Schamottesteine)","With a tonerine content (AL2O3) of more than 7, but less than 45 GHT (chamotte stones)",t
2320 12 370,"Andere feuerfeste Steine, Platten, Fliesen u.ä. Bauteile, mit einem Gehalt an Tonerde, an Kieselsäure oder einer Mischung oder Verbindung dieser Erzeugnisse von mehr als 50 GHT (Tonerdereiche Steine)","Other fireproof stones, plates, tiles, etc. Components, with a clay content, silica or a mixture or connection of these products of more than 50 GHT (clay -rich stones)",t
2320 12 900,"Andere feuerfeste Steine, Platten, Fliesen u.ä. Bauteile","Other fireproof stones, plates, tiles, etc. Components",t
2320 13 001,"Basische Mörtel und Massen (Gehalt an MgO, CaO oder Cr2O3, einzeln oder allgemein von mehr als 50 GHT)","Basic mortar and masses (content of MGO, CAO or CR2O3, individually or generally of more than 50 GHT)",t
2320 13 003,Saure Mörtel und Massen (Gehalt an Kieselsäure (SiO2) von 85 GHT oder mehr),Sauren mortar and masses (content of silica (SiO2) of 85 GHT or more),t
2320 13 005,"Schamottemörtel und -massen (Gehalt an Tonerde (Al2O3) von mehr als 10, jedoch weniger als 45 GHT und Kieselsäuregehalt (SiO2) unter 85 GHT)","MilotMistel and masses (content of clay (AL2O3) of more than 10, but less than 45 GHT and silica acid content (SIO2) below 85 GHT)",t
2320 13 007,Tonreiche Mörtel und Massen (Gehalt an Tonerde (Al2O3) von 45 GHT oder mehr),Mortula and masses (al2O3) of 45 GHT or more),t
2320 13 009,Andere feuerfeste Mörtel und Massen,Other fireproof mortar and masses,t
2320 14 100,"Waren aus Steinen o.a. mineralischen Stoffen, Magnesit, Dolomit oder Chromit enthaltend, a.n.g.","Were made of stones above mineral fabrics, magnesite, dolomite or chromite, A.N.G.",t
2320 14 300,"Feuerfeste keramische Waren, mit einem Gehalt an Grafit oder Kohlenstoff in anderer Form, von mehr als 25 GHT","Firefest ceramic goods, with a graphite or carbon content in a different form, of more than 25 GHT",t
2320 14 550,mit einem Gehalt an Tonerde (Al2O3) von weniger als 45 GHT,With a tonerine content (AL2O3) of less than 45 GHT,t
2320 14 590,mit einem Gehalt an Tonerde (Al2O3) von 45 GHT oder mehr,With a tonerine content (AL2O3) of 45 GHT or more,t
2320 14 900,Andere feuerfeste keramische Waren,Other fire -proof ceramic goods,t
2331 10 002,"Fliesen, Boden- und Wandplatten, ohne Mosaiksteine u.ä. Waren sowie fertige Formstücke, mit einem Wasseraufnahmekoeffizient von 0,5 % oder weniger","Tiles, floor and wall panels, without mosaic stones, etc. Goods as well as finished fittings, with a water absorption coefficient of 0.5 % or less",m2
2331 10 004,"Fliesen, Boden- und Wandplatten, einschl. Mosaiksteine u.ä. Waren sowie fertige Formstücke, mit einem Wasseraufnahmekoeffizient von mehr als 0,5 % bis 10 %","Tiles, floor and wall panels, including mosaic stones, etc. Goods as well as finished fittings, with a water absorption coefficient of more than 0.5 % to 10 %",m2
2331 10 007,"Fliesen, Boden- und Wandplatten, ohne Mosaiksteine u.ä. Waren sowie fertige Formstücke, mit einem Wasseraufnahmekoeffizient von mehr als 10 %","Tiles, floor and wall panels, without mosaic stones, etc. Goods as well as finished fittings, with a water absorption coefficient of more than 10 %",m2
2332 11 103,"Hintermauerziegel, mit oder ohne Lochung, für die Erstellung von verputzten oder verkleideten Wänden","Behind wall bricks, with or without perforation, for the creation of plastered or disguised walls",m3
2332 11 105,"Vormauerziegel, mit oder ohne Lochung, für die Erstellung von Sichtmauerwerk","Pre -wall bricks, with or without perforation, for the creation of visual masonry",m3
2332 11 107,Ziegel für Boden- und Straßenbeläge,Bricks for soil and street coverings,m3
2332 11 300,"Hourdis, Deckenziegel u.a. Ziegel; geformte Bauteile mit horizontaler Lochung für Decken","Hourdis, ceiling bricks, including bricks; Formed components with horizontal perforation for blankets",t
2332 12 503,"Pressdachziegel (z.B. Falz-, Pfannen-, Mönch-, Nonnenziegel)","Press roof bricks (e.g. fold, pans, monk, nun tiles)",1000 St
2332 12 505,Biberschwänze,Beaver tail,1000 St
2332 12 507,"Andere Strangziegel (z.B. Hohlpfannen, Hohlstrangziegel)","Other strand tiles (e.g. hollow pans, hollow strand tiles)",1000 St
2332 12 509,"Sonstige Dachziegel und Dachzubehörteile (z.B. First-, Gratziegel, Ortgang, Entlüfter)","Other roof tiles and roof accessories (e.g. ridge, gratz seal, town gang, ventilator)",1000 St
2332 12 700,"Schornsteinteile, Rauchleitungen, Bauzierrate u.a. Baukeramik","Chimney parts, smoking lines, construction trim rate, etc. Building ceramics",t
2332 13 000,"Keramische Rohre, Rohrleitungen, Rinnen, Rohrformstücke, Rohrverschlussstücke und Rohrverbindungsstücke","Ceramic pipes, pipes, gutters, pipe shape, pipe locks and pipe connection pieces",t
2341 11 303,weiß oder einfarbig,White or single -colored,kg
2341 11 305,dekoriert,decorated,kg
2341 11 500,"Haushalts-, Hygiene- und Toilettengegenstände","Household, hygiene and toilet objects",kg
2341 12 100,aus gewöhnlichem Ton,from ordinary tone,kg
2341 12 300,aus Steinzeug,stoneware,kg
2341 12 503,weiß oder einfarbig,White or single -colored,kg
2341 12 505,dekoriert,decorated,kg
2341 12 900,"Anderes keramisches Geschirr, andere keramische Haushalts-, Hygiene- und Toilettengegenstände, a.n.g.","Other ceramic dishes, other ceramic household, hygiene and toilet objects, A.N.G.",kg
2341 13 303,weiß oder einfarbig,White or single -colored,EUR
2341 13 305,dekoriert,decorated,EUR
2341 13 500,Andere Statuetten u.a. Ziergegenstände,"Other statuettes, among other things, decorative objects",EUR
2342 10 300,aus Porzellan,Porcelain,St
2342 10 500,aus anderen keramischen Stoffen,From other ceramic fabrics,St
2343 10 303,ohne Metallteile,without metal parts,kg
2343 10 308,mit Metallteilen,metal parts,kg
2343 10 500,"Isolierteile aus keramischen Stoffen, für elektrische Maschinen, Apparate, Geräte oder Installationen","Insolating parts made of ceramic fabrics, for electrical machines, devices, devices or installations",kg
2344 11 000,"Waren für chemische u.a. technische Zwecke, aus Porzellan","For chemical, technical purposes, from porcelain",kg
2344 12 101,"Oxidkeramik mit einem Gehalt an Metalloxiden von mehr als 90 GHT, für chemische Zwecke","Oxid ceramics with a metal oxides content of more than 90 GHT, for chemical purposes",kg
2344 12 102,"Andere keramische Waren, für chemische Zwecke (ohne Oxidkeramik)","Other ceramic goods, for chemical purposes (without oxid ceramics)",kg
2344 12 106,"Andere keramische Waren, verschleißfeste Keramik für technische Zwecke","Other ceramic goods, wear -resistant ceramics for technical purposes",kg
2344 12 107,"Andere keramische Waren, hitzebeständige Keramik für technische Zwecke","Other ceramic goods, heat -resistant ceramics for technical purposes",kg
2344 12 109,"Andere keramische Waren, für technische Zwecke",Other ceramic goods for technical purposes,kg
2344 12 300,"Dauermagnete und Waren, die dazu bestimmt sind, nach Magnetisierung Dauermagnete zu werden (ohne solche aus Metall)",Permanent magnets and goods that are intended to become permanent magnets after magnetization (without metal),kg
2349 11 000,"Keramische Tröge, Wannen u.ä. Behältnisse für die Landwirtschaft; keramische Krüge u.ä. Behältnisse zu Transport- oder Verpackungszwecken","Ceramic troughs, tubs etc. Hits for agriculture; Ceramic jugs, etc. Contents for transport or packaging purposes",kg
2349 12 300,aus Porzellan,Porcelain,kg
2349 12 501,aus gewöhnlichem Ton,from ordinary tone,kg
2349 12 509,aus anderen Stoffen (ohne solche aus Porzellan oder gewöhnlichem Ton),from other substances (without those made of porcelain or ordinary sound),kg
2351 11 000,Zementklinker,Cement clinker,t
2351 12 100,Portlandzement,Portland cement,t
2351 12 900,"Anderer Zement (z.B. Tonerdezement, Hochofenzement, Puzzolanzement)","Other cement (e.g. clay cement, blast furnace cement, puzzolance)",t
2352 10 330,ungelöscht,unsettled,t
2352 10 350,gelöscht,deleted,t
2352 10 500,Hydraulischer Kalk,Hydraulic lime,t
2352 20 000,"Gips, aus gebranntem Gipsstein oder aus Calciumsulfat (einschl. Rauchgas-Entschwefelungsanlagengips und Chemiegips)","Gypsum, made of burned plasterstone or from calcium sulfate (including flue gas decorative plants and chemical bips)",t
2352 30 300,gebrannt oder gesintert,Burnt or sintered,t
2352 30 500,"Dolomitstampfmasse, rein","Dolomitstamppfkass, pure",t
2361 11 301,"Baublöcke und Mauersteine, aus Porenbeton","Building blocks and wall stones, from aerated concrete",m3
2361 11 302,Vollsteine aus Leichtbeton,Full stones made of lightweight concrete,m3
2361 11 303,"Andere Baublöcke und Mauersteine, aus Leichtbeton","Other construction blocks and wall stones, made of lightweight concrete",m3
2361 11 305,Vollsteine aus Normal- und Schwerbeton,Full stones made of normal and heavy concrete,m3
2361 11 306,"Andere Baublöcke und Mauersteine, aus Normal- und Schwerbeton","Other construction blocks and wall stones, from normal and heavy concrete",m3
2361 11 307,"Vormauersteine und Verblender, aus Kalksandstein","Pre -wall stones and blends, made of limestone sandstone",m3
2361 11 308,Vollsteine aus Kalksandstein,Full stones made of limestone sandstone,m3
2361 11 309,"Andere Baublöcke und Mauersteine, aus Kalksandstein","Other construction blocks and wall stones, from Kalkandstein",m3
2361 11 501,Dachsteine aus Beton (einschl. First- und Gratstein),Beast stones made of concrete (including ridge and grate stone),1000 St + t
2361 11 504,"Gehwegplatten, Belagplatten","Sidewalk panels, covering plates",t
2361 11 505,"Pflastersteine, Bordsteine, Rinnsteine u.ä. Erzeugnisse","Paving stones, curbs, gutter, etc. Products",t
2361 11 509,"Andere Waren, aus Beton oder Kalksandstein, a.n.g.","Other goods made of concrete or lime sandstone, A.N.G.",t
2361 12 001,Großformatige Wandbauteile (Wandtafeln),Large -format wall components (wall panels),t
2361 12 002,Lärmschutzwände,Noise protection walls,t
2361 12 003,Großformatige Deckentafeln,Large -format ceiling panels,t
2361 12 005,Pfosten und Platten aller Art,All kinds of posts and plates,t
2361 12 006,Schornsteinformstücke,Chimney shapes,t
2361 12 007,Fertigteile für Gartenbau und Landwirtschaft,Finished parts for horticulture and agriculture,t
2361 12 008,"Fertigteile konstruktiver Art (z.B. Balken, Stürze, Binder usw.)","Finished parts of constructive art (e.g. bars, falls, binders, etc.)",t
